日期,縣市,地方政府電力售電量(度),地方政府電力抄表戶數,地方政府電力用電佔比(%),地方政府電燈(營業)售電量(度),地方政府電燈(營業)抄表戶數,地方政府電燈(營業)用電佔比(%),地方政府電燈(非營業)售電量(度),地方政府電燈(非營業)抄表戶數,地方政府電燈(非營業)用電佔比(%),中央政府電力售電量(度),中央政府電力抄表戶數,中央政府電力用電佔比(%),中央政府電燈(營業)售電量(度),中央政府電燈(營業)抄表戶數,中央政府電燈(營業)用電佔比(%),中央政府電燈(非營業)售電量(度),中央政府電燈(非營業)抄表戶數,中央政府電燈(非營業)用電佔比(%),包燈售電量(度),包燈抄表戶數,包燈用電佔比(%),大專院校電力售電量(度),大專院校電力抄表戶數,大專院校電力用電佔比(%),大專院校電燈(營業)售電量(度),大專院校電燈(營業)抄表戶數,大專院校電燈(營業)用電佔比(%),大專院校電燈(非營業)售電量(度),大專院校電燈(非營業)抄表戶數,大專院校電燈(非營業)用電佔比(%),合計售電量(度)
2016年10月,嘉義市,1358549,33,0.0109,5545,2,0.0064,571488,65,0.0158,1268170,24,0.0104,0,0,0,168248,80,0.0308,2954112,1885,0.0143,2491540,10,0.0114,0,0,0,7628,8,0.0068,8825280
2016年10月,澎湖縣,846805,52,0.0068,17294,4,0.0201,470358,286,0.013,1502823,36,0.0123,40698,14,0.3742,195638,112,0.0358,1184097,820,0.0057,484480,3,0.0022,0,0,0,0,0,0,4742193
2016年10月,金門縣,1254490,62,0.0101,52912,42,0.0615,676578,207,0.0187,908718,28,0.0074,2640,2,0.0243,115658,44,0.0212,841359,973,0.0041,617280,3,0.0028,0,0,0,0,0,0,4469635
2016年10月,連江縣,175760,9,0.0014,9445,5,0.011,191905,57,0.0053,220080,6,0.0018,5079,5,0.0467,102165,33,0.0187,237762,234,0.0011,0,0,0,0,0,0,0,0,0,942196
2016年10月,合計,124133176,3122,1,859922,248,1,36272172,8581,1,122388189,1374,1,108769,39,1,5460204,1869,1,207042527,161929,1,218329364,401,1,6981,4,1,1117474,342,1,715718778
2016年09月,新北市,21952966,506,0.1853,46352,5,0.0468,2819241,707,0.0716,9309693,91,0.0776,5267,1,0.0241,326730,64,0.0546,13306642,22116,0.0642,15123640,32,0.0779,0,0,0,14800,1,0.0224,62905331
2016年09月,台北市,35990447,448,0.3038,51123,9,0.0516,1632977,354,0.0415,38155415,209,0.3182,8926,2,0.0409,1337462,298,0.2236,13322782,24530,0.0643,49330980,114,0.254,59088,4,0.9572,345589,205,0.5235,140234789
2016年09月,桃園市,6530390,197,0.0551,21257,3,0.0215,2567513,303,0.0652,7841822,56,0.0654,11360,1,0.052,306741,28,0.0513,17261559,11794,0.0832,21040520,25,0.1083,0,0,0,2282,3,0.0035,55583444
2016年09月,台中市,9871395,290,0.0833,152587,15,0.154,4853303,494,0.1233,12542523,128,0.1046,9989,2,0.0457,225657,54,0.0377,25278984,20075,0.1219,20373010,43,0.1049,0,0,0,25418,4,0.0385,73332866
2016年09月,台南市,6228070,228,0.0526,47903,21,0.0483,3807514,1344,0.0968,6046284,113,0.0504,0,0,0,478481,206,0.08,22684167,11649,0.1094,11206622,24,0.0577,0,0,0,16171,14,0.0245,50515212
2016年09月,高雄市,14799170,477,0.1249,40973,48,0.0413,3321697,681,0.0844,15652485,152,0.1305,79574,16,0.3643,313325,122,0.0524,28347228,17824,0.1367,25179428,51,0.1297,2640,2,0.0428,31926,7,0.0484,87768446
2016年09月,宜蘭縣,1491558,49,0.0126,32072,8,0.0324,1546331,230,0.0393,1856000,36,0.0155,3311,1,0.0152,376685,122,0.063,5638836,4043,0.0272,2583303,7,0.0133,0,0,0,1620,3,0.0025,13529716
