日期,縣市,801 KW以上售電量(度),801 KW以上抄表戶數,801 KW以上用電佔比(%),小於等於800 KW售電量(度),小於等於800 KW抄表戶數,小於等於800 KW用電佔比(%),表燈營業用電售電量(度),表燈營業用電抄表戶數,表燈營業用電用電佔比(%),合計
2019年09月,新竹市,49489831,56,0.0399,37334282,2057,0.0244,34067777,11386,0.0203,120891890
2019年09月,嘉義市,10866200,16,0.0088,22008790,1211,0.0144,19930374,9575,0.0119,52805364
2019年09月,澎湖縣,3978600,6,0.0032,9941471,465,0.0065,8590123,4184,0.0051,22510194
2019年09月,金門縣,3375856,7,0.0027,5626400,498,0.0037,5586830,2686,0.0033,14589086
2019年09月,連江縣,0,0,0,2360315,183,0.0015,1407944,648,0.0008,3768259
2019年09月,合計,1239454882,1543,1,1532732566,83531,1,1681028749,647427,1,4453216197
2019年08月,新北市,120406669,150,0.0908,210324592,11086,0.1316,256130849,91037,0.1706,586862110
2019年08月,台北市,415255640,468,0.313,301235409,14249,0.1885,239466355,86088,0.1595,955957404
2019年08月,桃園市,149035194,160,0.1123,131841947,5659,0.0825,157100444,52475,0.1046,437977585
2019年08月,台中市,125260235,183,0.0944,189159905,9794,0.1183,201519218,82347,0.1342,515939358
2019年08月,台南市,66287316,80,0.05,128085580,7987,0.0801,104853833,46628,0.0698,299226729
2019年08月,高雄市,164807068,179,0.1242,191705944,10687,0.1199,156079743,69450,0.104,512592755
2019年08月,宜蘭縣,16507303,23,0.0124,32720414,1406,0.0205,30073960,13079,0.02,79301677
2019年08月,新竹縣,22011340,24,0.0166,39673682,1889,0.0248,39653425,14815,0.0264,101338447
2019年08月,苗栗縣,13849336,18,0.0104,26904426,1239,0.0168,28985481,13336,0.0193,69739243
2019年08月,彰化縣,68511320,31,0.0516,71558348,5232,0.0448,63513339,31558,0.0423,203583007
2019年08月,南投縣,9673420,21,0.0073,26856595,1480,0.0168,26223198,13831,0.0175,62753213
2019年08月,雲林縣,12808236,23,0.0097,36052448,2313,0.0226,29102807,16488,0.0194,77963491
2019年08月,嘉義縣,13763500,13,0.0104,16412983,1262,0.0103,18440382,10627,0.0123,48616865
2019年08月,屏東縣,18182840,33,0.0137,46202562,3239,0.0289,37036946,19049,0.0247,101422348
2019年08月,台東縣,5880200,8,0.0044,19772294,838,0.0124,13780812,8042,0.0092,39433306
2019年08月,花蓮縣,21252016,26,0.016,25886351,1158,0.0162,24078504,11054,0.016,71216871
2019年08月,基隆市,10289820,19,0.0078,24455821,1238,0.0153,18885980,7448,0.0126,53631621
2019年08月,新竹市,54326098,56,0.0409,38471802,2059,0.0241,29702942,10459,0.0198,122500842
2019年08月,嘉義市,11467000,16,0.0086,22538128,1240,0.0141,16508847,8495,0.011,50513975
2019年08月,澎湖縣,3796800,6,0.0029,10287724,470,0.0064,5471914,2573,0.0036,19556438
2019年08月,金門縣,3339840,7,0.0025,5742448,502,0.0036,3368490,2216,0.0022,12450778
2019年08月,連江縣,0,0,0,2430292,185,0.0015,1367802,746,0.0009,3798094
2019年08月,合計,1326711191,1544,1,1598319695,85212,1,1501345271,611841,1,4426376157
2019年07月,新北市,124456185,151,0.0923,204360748,11612,0.131,262495436,102068,0.1799,591312369
2019年07月,台北市,419253135,472,0.3109,285348971,14254,0.1829,242057490,92851,0.1658,946659596
2019年07月,桃園市,151281380,164,0.1122,143124640,6054,0.0917,133834217,50104,0.0917,428240237
2019年07月,台中市,126908032,187,0.0941,179069541,9971,0.1148,201093887,88098,0.1378,507071460
2019年07月,台南市,67602652,80,0.0501,126929450,8010,0.0813,97545848,47264,0.0668,292077950
2019年07月,高雄市,168301342,180,0.1248,187523248,10702,0.1202,154625797,73036,0.1059,510450387
